department;number;valid_to;call_sign;category;transmitter_power;operator_1;operator_2;operator_3;applicant_name;applicant_city;applicant_street;applicant_house;applicant_number;enduser_name;enduser_city;enduser_street;enduser_house;enduser_number;station_city;station_street;station_house;station_number
UKE-KrakÛw;169/K/I/2012;2017-02-07;SP9KTL;1;500;SP9UML;SP9CCD;SP9OYV;Liga Obrony Kraju;Warszawa;ul. Chocimska;14;;Klub £πcznoúci Ligi Obrony Kraju - SP9KTL;Trzetrzewina;;353;;Trzetrzewina;;353;
UKE-RzeszÛw;1/K/O/2012;2017-02-08;SP8PVV;1;500;SQ8AQO;SQ9AOL;SP9DAP;Stowarzyszenie KrÛtkofalowcÛw i RadioamatorÛw Delta;DÍbica;ul. Sportowa;26;;Szkolny Klub £πcznoúci im. Edwarda Zolowskiego w Ostrowie;OstrÛw;;215;;OstrÛw;;215;
UKE-Szczecin;49/K/P/2016;2017-02-09;3Z0LH;T;500;SP1JW;SP1DPA;SP1EG;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;OkÛlnik;9A;16;Wojskowy Klub KrÛtkofalowcÛw PZK SP1PBW;Szczecin;WAWRZYNIAKA;5;;Szczecin;WAWRZYNIAKA;7;
UKE-£Ûdü;170/K/L/2016;2017-02-11;SN750ERA;T;500;SP7TOB;SQ7MRW;SQ7PGR;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;OkÛlnik;9a;16;Klub KrÛtkofalowcÛw PZK przy Miejskim Domu Kultury w Radomsku;Radomsko;Brzeünicka;5;;Radomsko;Brzeünicka;5;
UKE-Warszawa;77/K/B/2012;2017-02-13;SP5PSL;1;500;SP5CNA;SP5JXK;SP5COF;WARSZAWSKI ODDZIA£ TERENOWY PZK;Warszawa;ul. Lokajskiego;22;42;Warszawski Oddzia≥ Terenowy PZK;Warszawa;ul. Lokajskiego;22;42;ZEGRZE;ul. Juzistek;2 bl.4;328a
UKE-GdaÒsk;0016/K/E/2012;2017-02-15;SP2KMH;1;150;SP2JEO;SP2RIP;SQ2MMS;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;ul. OkÛlnik;9A;16;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;ul. OkÛlnik;9A;16;TCZEW;ul. Wigury;39;
UKE-Lublin;1/K/K/2012;2017-02-15;SP8KHT;1;500;SQ8BWT;SQ8HNB;SQ8GHH;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;ul. OkÛlnik;9 A;16;Zamojski Klub KrÛtkofalowcÛw Polskiego Zwiπzku KrÛtkofalowcÛw przy Klubie Batalionowym;Zamoúc;ul. Pi≥sudskiego;36;;Warszawa;ul. OkÛlnik;9A;16
UKE-Bydgoszcz;2/K/D/2016;2017-02-20;SN0HQ;T;1500;SP2JMR;SP2X;;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;ul. OkÛlnik;9A;16;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;ul. OkÛlnik;9A;16;Bydgoszcz;ul. Modrzewiowa;25;
UKE-Warszawa;79/K/B/2012;2017-02-20;SP5ZHJ;1;150;SQ5JOP;SQ5JRC;SQ5JUN;CHOR•GIEW STO£ECZNA ZHP;Warszawa;ul. Piaskowa;4;;CHOR•GIEW STO£ECZNA ZHP;Warszawa;ul. Piaskowa;4;;Warszawa;ul. Braci Za≥uskich;1;
UKE-Katowice;168/K/F/2016;2017-02-21;SN9D;T;1500;SP9FOW;;;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;OkÛlnik;9 A;16;Klub KrÛtkofalowcÛw PZK;åwierklany;Parytetyczna;40;;åwierklany;Parytetyczna;40;
UKE-Warszawa;78/K/B/2012;2017-02-22;SP5ZHP;1;150;SQ5JRC;SQ5JUN;SQ5JRJ;Zwiπzek Harcerstwa Polskiego;Warszawa;ul. Konopnickiej;6;;Centralny Harcerski Klub £πcznoúci przy G≥Ûwnej Kwaterze ZHP;Warszawa;Konopnickiej;6;;Warszawa;ul. Konopnickiej;6;
UKE-Warszawa;18/K/B/2016;2017-02-24;SN5T;T;1500;SP5LS;SP5PX;SP5XOV;POLSKI ZWI•ZEK KR”TKOFALOWC”W;Warszawa;ul. OkÛlnik;9A;16;Praski Oddzia≥ Terenowy PZK;Warszawa;ul. Marymoncka;137/139;48;Warszawa;ul. Marymoncka;137/139;48
UKE-Warszawa;19/K/B/2016;2017-02-24;SN5I;T;500;SP5MXW;;;POLSKI ZWI•ZEK KR”TKOFALOWC”W;Warszawa;ul. OkÛlnik;9A;16;Praski Oddzia≥ Terenowy PZK;Stara Wieú;ul. Grodziska;154A;;Stara  Wieú;ul. Grodziska;154A;
UKE-Warszawa;20/K/B/2016;2017-02-24;SO5O;T;1500;SP5NZH;SP5RMT;SP5MXZ;POLSKI ZWI•ZEK KR”TKOFALOWC”W;Warszawa;ul. OkÛlnik;9A;16;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;ul. OkÛlnik;9a;16;Ostro≥Íka;ul. KrÛla Jana Kazimierza;1;
UKE-Szczecin;64/K/P/2016;2017-02-25;SN1050PMY;T;500;SP1JJY;SQ1SNU;SQ1TAW;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;OkÛlnik;9A;16;Myúliborski Klub £πcznoúci PZK;MyúlibÛrz;1 MAJA;19;;MyúlibÛrz;1 MAJA;19;
UKE-Warszawa;80/K/B/2012;2017-02-25;SP5ZBA;1;500;SQ5AZB;SP5HQZ;SQ5EKW;CHOR•GIEW MAZOWIECKA ZHP;P≥ock;ul. KrÛtka;3A;;Chorπgiew Mazowiecka ZHP;P£OCK;ul. KrÛtka;3A;;P£OCK;ul. Lachmana;2;119
UKE-Wroc≥aw;8/D/K/R/2016;2017-02-25;HF70SEP;T;500;SP6DT;SQ6IYV;;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;ul. OkÛlnik;9A;16;Klub KrÛtkofalowcÛw PZK im. Adama Zalewskiego SP6OF przy kole Nr 5 SEP;WROC£AW;Pi≥sudzkiego;74;330;Wroc≥aw;ul. Pi≥sudskiego;74;330
UKE-£Ûdü;171/K/L/2016;2017-02-28;SN7L;T;1500;SP7MTU;SP7XK;SQ7MZH;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;OkÛlnik;9a;16;"Osiedlowy Klub PZK przy SM ""ZARZEW""";£Ûdü;PrzÍdzalniana;102/104;;KamieÒsk/Zwa≥owisko;GÛra KamieÒsk;;
UKE-PoznaÒ;1/K/N/2012;2017-02-28;SP3YAC;1;150;SQ3BKH;SP3VBF;SP3QYW;AEROKLUB ZIEMI PILSKIEJ;PI£A;LOTNICZA;12;;AEROKLUB ZIEMI PILSKIEJ;PI£A;LOTNICZA;12;;PI£A;LOTNICZA;12;
UKE-RzeszÛw;2/K/O/2012;2017-02-28;SP8KJX;1;150;SP8AYS;SQ8GBG;SQ8ERB;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;ul. OkÛlnik;9A;16;Klub £πcznoúci LOK SP8KJX;Jas≥o;ul. Koralewskiego;3;9;Jas≥o;ul. Koralewskiego;3;9
