department;number;valid_to;call_sign;category;transmitter_power;operator_1;operator_2;operator_3;applicant_name;applicant_city;applicant_street;applicant_house;applicant_number;enduser_name;enduser_city;enduser_street;enduser_house;enduser_number;station_city;station_street;station_house;station_number
UKE-£Ûdü;134/K/L/2013;2018-02-28;SP7PSI;1;500;SP7NJT;SP5FMR;SP7NPU;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;OkÛlnik;9a;16;Sieradzki Klub KrÛtkofalowcÛw;Sieradz;Pokoju;13;120;Sieradz;Al. Pokoju;13;120
UKE-£Ûdü;136/K/L/2013;2018-02-28;SP7PRA;1;150;SP7TOB;SQ7MRW;SQ7PGR;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;OkÛlnik;9a;16;Klub KrÛtkofalowcÛw PZK przy Miejskim Domu Kultury w Radomsku;Radomsko;Brzeünicka;5;;Radomsko;Brzeünicka;5;
UKE-Opole;32/K/T/2013;2018-03-01;SP6PAZ;1;500;SP6DVP;SP6LUV;SP6CIK;Polski Zwiπzek KrÛtkofalowcÛw Oddzia≥ Terenowy nr 11 w Opolu;Opole;ul. SkautÛw Opolskich;15;XI piÍtro;Piastowski Klub KrÛtkofalowcÛw SP6PAZ;Czarnowπsy;Wolnoúci;91;;Czarnowπsy;Wolnoúci;91;
UKE-PoznaÒ;9/K/N/2013;2018-03-07;SP3KYY;1;150;SP3FTA;SP3TLB;SP3TLL;LIGA OBRONY KRAJU;WARSZAWA;CHOCIMSKA;14;;KLUB £•CZNOåCI LOK SP3KYY;KOåCIAN;PL.WOLNOåCI;21;;KOåCIAN;PL.WOLNOåCI;21;
UKE-£Ûdü;138/K/L/2013;2018-03-10;SP7PDL;1;150;SQ7BTK;SQ7HJZ;SQ7JHJ;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;OkÛlnik;9a;16;£owicki Klub KrÛtkofalowcÛw;£owicz;Podrzeczna;30;;£owicz;Podrzeczna;30;
UKE-Wroc≥aw;3/K/R/2013;2018-03-10;SP6PSR;1;500;SQ6OCZ;3Z6AET;SP6VXU;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;ul. OkÛlnik;9A;16;Dolnoúlπska Amatorska SieÊ Ratunkowa klub DOT PZK;Wroc≥aw;ul. Tarnowska;8;2;Wroc≥aw;ul. Tarnowska;8;2
UKE-Wroc≥aw;59/K/R/2013;2018-03-10;SP6PRT;1;500;SP6CCI;SP6BCC;SP6XXB;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;ul. OkÛlnik;9A;16;Dolnoúlπski Oddzia≥ Terenowy PZK - Klub KrÛtkofalowcÛw PZK przy Klubie ålπskiego OkrÍgu Wojskowego;Wroc≥aw;ul. Pretficza;24;;Wroc≥aw;ul. Pretficza;14-16;11
UKE-KrakÛw;182/K/I/2013;2018-03-12;SP9PRM;1;150;SP9FII;SQ2MAD;SQ9OJP;Ma≥opolskie Stowarzyszenie KrÛtkofalowcÛw Oddzia≥ Terenowy Polskiego Zwiπzku KrÛtkofalowcÛw w Krakowie;KrakÛw;ul. Basztowa;15;17;MaltaÒski Klub £πcznoúci;KrakÛw;ul. £uøycka;69;88;KrakÛw;ul. £uøycka;69;88
UKE-PoznaÒ;8/K/N/2013;2018-03-13;SP3ZBY;1;500;SP3EA;SP3BTK;SP3EL;ZWI•ZEK HARCERSTWA POLSKIEGO - CHOR•GIEW WIELKOPOLSKA - HUFIEC PI£A;PI£A;AL.NIEPODLEG£OåCI;22;;"HARCERSKI KLUB £•CZNOåCI ""PI£A""";PI£A;£•CZNA;21B;;PI£A;£•CZNA;21B;
UKE-Bydgoszcz;80/K/D/2013;2018-03-14;SP2KJH;1;500;SP2HJG;SP2GSI;SP2JNK;Liga Obrony Kraju;Warszawa;ul. Chocimska;14;;Klub £πcznoúci LOK SP2KJH;Grudziπdz;ul. Cegielniana;3;;Grudziπdz;ul. Cegielniana;3;
UKE-Bydgoszcz;81/K/D/2013;2018-03-14;SP2KRS;1;500;SP2JNK;SP2HYO;SP2DOJ;Liga Obrony Kraju;Warszawa;ul. Chocimska;14;;Klub £πcznoúci LOK SP2KRS;Grudziπdz;ul. Cegielniana;3;;Grudziπdz;ul. Cegielniana;3;
UKE-PoznaÒ;10/K/N/2013;2018-03-14;SP3PMA;1;500;SP3RNZ;SP3OCC;SP3UR;POLSKI ZWI•ZEK KR”TKOFALOWC”W;WARSZAWA;OK”LNIK;9A;16;"KONI—SKI KLUB KR”TKOFALOWC”W ""GWAREK""";KONIN;K.S.WYSZY—SKIEGO;3C;;KONIN;WYSZY—SKIEGO;3C;
UKE-£Ûdü;139/K/L/2013;2018-03-18;SP7YQB;1;150;SP7WMD;SP7GRW;SQ7JZF;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;OkÛlnik;9a;16;"Klub KrÛtkofalowcÛw SM TeofilÛw przy Domu Kultury ""Relax""";£Ûdü;Rydzowa;5;;£Ûdü;Rydzowa;5;
UKE-£Ûdü;140/K/L/2013;2018-03-18;SP7PHP;1;150;SQ7NNL;SQ7MZH;SQ7OVR;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;OkÛlnik;9a;16;Towarzystwo PrzyjaciÛ≥ Fal KrÛtkich w Aleksandrowie £Ûdzkim;AleksandrÛw £Ûdzki;Bratoszewskiego;7;60;AleksandrÛw £Ûdzki;Bratoszewskiego;7;60
UKE-£Ûdü;148/K/L/2014;2018-03-19;SP7PZS;1;500;SP7MTF;SP7QHR;SQ7OVV;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;OkÛlnik;9a;16;ZduÒskowolski Klub KrÛtkofalowcÛw PZK;ZduÒska Wola;RÛøana;2;;ZduÒska Wola;RÛøana;2;
UKE-Opole;33/K/T/2013;2018-03-26;SP6PNZ;1;150;SQ6LBW;SP6LUY;SP6OUQ;Polski Zwiπzek KrÛtkofalowcÛw Oddzia≥ Terenowy nr 11 w Opolu;Opole;ul. SkautÛw Opolskich;15;XI piÍtro;Klub KrÛtkofalowcÛw im. Ziemi Nyskiej SP6PNZ;Nysa;JagielloÒska;22A;;Nysa;JagielloÒska;22A;
UKE-Szczecin;22/K/P/2013;2018-03-29;SP1ZZW;1;500;SQ1KSD;SP1FTI;SP1WSX;Chorπgiew Zachodniopomorska Zwiπzku Harcerstwa Polskiego;Szczecin;OGI—SKIEGO;15;;"Harcerski Klub £πcznoúci SP1ZZW ""HORYZONT""";åwinoujúcie;Øeromskiego;28;;åwinoujúcie;Matejki;43;127
UKE-Bydgoszcz;82/K/D/2013;2018-04-11;SP2KJF;1;500;SP2CLX;SP2GYA;SP2UKS;Liga Obrony Kraju;Warszawa;ul. Chocimska;14;;Klub £πcznoúci LOK SP2KJF;Brodnica;Sπdowa;14;;Brodnica;ul. Sπdowa;14;
UKE-Wroc≥aw;30/K/R/2013;2018-04-15;SP6PCM;1;500;SP6GPJ;SP6TRO;SP6FZQ;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;ul. OkÛlnik;9A;16;Klub KrÛtkofalowcÛw przy PGE GiEK S.A., Elektrownia TurÛw;Bogatynia;ul. M≥odych EnergetykÛw;12;;Bogatynia;ul. M≥odych EnergetykÛw;12;
UKE-Bydgoszcz;83/K/D/2013;2018-04-16;SP2YAP;1;150;SP2SGF;SP2OFP;SP2OFF;Fundacja Copernicus Project;Rozgarty;ul. Sarnia;12B;;Fundacja Copernicus Project;Rozgarty;ul. Sarnia;12B;;Rozgarty;ul. Sarnia;12B;
UKE-Olsztyn;1/K/M/2013;2018-04-19;SP4KIG;1;500;SP4TKB;SP4JGO;SP4TVO;Liga Obrony Kraju;Warszawa;Chocimska;14;;Klub £πcznoúci LOK SP4KIG;Giøycko;úw. Brunona;4;;Giøycko;úw. Brunona;4;
UKE-Katowice;164/K/F/2013;2018-04-22;SP9KOZ;1;150;SP9ONC;SP9JKB;SP9LVZ;Ochotnicza Straø Poøarna w Kozach;Kozy;Bielska;15;;Ochotnicza Straø Poøarna w Kozach;Kozy;Bielska;15;;Kozy;Bielska;15;
UKE-RzeszÛw;1/K/O/2013;2018-05-20;SP8PDE;1;150;SP9MZX;SP9RPV;SP9DAP;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;ul. OkÛlnik;9A;16;DÍbicki Klub KrÛtkofalowcÛw PZK;DÍbica;ul. Koúciuszki;111;;DÍbica;ul. Koúciuszki;111;
UKE-PoznaÒ;11/K/N/2013;2018-05-31;SP3KPN;1;500;SP3GXU;SP3JVA;SQ3EPX;LIGA OBRONY KRAJU;WARSZAWA;CHOCIMSKA;14;;KLUB £•CZNOåCI LOK SP3KPN;GNIEZNO;JEZIORNA;9;;GNIEZNO;JEZIORNA;9;
UKE-£Ûdü;142/K/L/2013;2018-06-20;SP7KQL;1;500;SP7DRF;SQ7NNA;SP7DCB;Liga Obrony Kraju;Warszawa;CHOCIMSKA;14;;Klub £πcznoúci LOK SP7KQL;£Ûdü;Koúciuszki;71;;£Ûdü;Koúciuszki;71;
UKE-Warszawa;8/K/B/2013;2018-07-03;SP5YAM;1;150;SP5IUZ;SQ5NWI;SP5GNW;Gmina Micha≥owice;Regu≥y;Aleja PowstaÒcÛw Warszawy;1;;Klub £πcznoúci przy LO im. M.Dπbrowskiej w Komorowie;KomorÛw;Al.Marii Dπbrowskiej;12/20;;KomorÛw;Al.Marii Dπbrowskiej;12/20;
UKE-Warszawa;11/K/B/2013;2018-07-11;SP7ZKU;1;150;SP7MJL;SP7NWM;SQ5FBI;POLSKI ZWI•ZEK KR”TKOFALOWC”W;Warszawa;ul. OkÛlnik;9A;16;Klub KrÛtkofalowcÛw PZK przy Komendzie Hufca ZHP Sochaczew;SOCHACZEW;ul. H. Sawickiej;3;;SOCHACZEW;ul. H. Sawickiej;3;
UKE-Bydgoszcz;84/K/D/2013;2018-07-17;SP2KCW;1;500;SQ2EAH;SP2GTJ;SP2UKD;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;ul. OkÛlnik;9A;16;Inowroc≥awski Klub KrÛtkofalowcÛw SP2KCW;Inowroc≥aw;ul. M. Curie-Sk≥odowskiej;67;;Inowroc≥aw;ul. ToruÒska;60;
UKE-RzeszÛw;2/K/O/2013;2018-07-22;SP8PZI;1;150;SQ8GBE;SQ8GBG;SQ8CMF;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;ul. OkÛlnik;9A;16;Szkolny Klub KrÛtkofalowcÛw przy Szkole Podstawowej w Lubatowej;Lubatowa;;284;;Lubatowa;;284;
UKE-Opole;34/K/T/2013;2018-07-23;SP6KEO;1;500;SP6EZ;SQ6LZD;SP6AKL;Stowarzyszenie KrÛtkofalowcÛw Euroregionu Pradziad;Prudnik;PrÍøyÒska;3,5,7;;Stowarzyszenie KrÛtkofalowcÛw Euroregionu Pradziad - Klub KrÛtkofalowcÛw SP6KEO;Prudnik;PrÍøyÒska;3,5,7;;Prudnik;PrÍøyÒska;3,5,7;
UKE-Lublin;1/K/K/2013;2018-09-10;SP8PIX;1;500;SP8NTH;SP8DHN;SP8EVQ;W≥odawski Klub KrÛtkofalowcÛw;W≥odawa;ul. PÛ≥nocna;4;;W≥odawski Klub KrÛtkofalowcÛw;W≥odawa;ul. PÛ≥nocna;4;;W≥odawa;ul. PÛ≥nocna;4;
UKE-Warszawa;15/K/B/2013;2018-09-19;SP0DXC;1;500;SP6T;SP7CVW;SP7DQR;SPDXC Stowarzyszenie Mi≥oúnikÛw  DalekosiÍønych £πcznoúci Radiowych;Warszawa;ul. Kluczowa;6;18;SPDXC Stowarzyszenie Mi≥oúnikÛw  DalekosiÍønych £πcznoúci Radiowych;Warszawa;ul. Kluczowa;6;18;Warszawa;ul. Kluczowa;6;18
UKE-Warszawa;14/K/B/2013;2018-09-23;SP5ZCC;1;150;SP5UAF;SP5HNK;SQ6MS;POLSKI ZWI•ZEK KR”TKOFALOWC”W;Warszawa;ul. OkÛlnik;9A;16;Wirtualny Oddzia≥ Terenowy PZK;SULEJ”WEK;ul. 3 Maja;21;;SULEJ”WEK;ul. 3 Maja;21;
UKE-PoznaÒ;13/K/N/2013;2018-09-30;SP3KKU;1;500;SQ3MKT;SQ3TJD;SP3SL;LIGA OBRONY KRAJU;WARSZAWA;CHOCIMSKA;14;;KLUB £•CZNOåCI LOK;POZNA—;NIEZ£OMNYCH;1;;POZNA—;NIEZ£OMNYCH;1;
UKE-GdaÒsk;0047/K/E/2013;2018-10-04;SP2YKS;1;150;SP2QVK;SP2GUC;SP2SWH;"Wojskowy Klub Sportowy ""CHOJNICE""";CHOJNICE;ul. SukiennikÛw;13;;"Wojskowy Klub Sportowy ""CHOJNICE""";CHOJNICE;ul. SukiennikÛw;13;;CHOJNICE;ul. Wysoka;3;211
UKE-£Ûdü;143/K/L/2013;2018-10-06;SP7PPT;1;150;SP7DRV;SP7HNP;SQ7FJB;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;OkÛlnik;9a;16;Klub KrÛtkofalowcÛw Ziemi Piotrkowskiej PZK;Warszawa;;;;Moszczenica;Kosowska;57;
UKE-Katowice;118/K/F/2013;2018-10-16;SP9ZHR;1;150;SP9EMI;SP9JBX;SP9CTS;Zwiπzek Harcerstwa Polskiego Chorπgiew ålπska;Katowice;Al.Korfantego;8;;Komenda Hufca ZHP Ruda ålπska;åwiÍtoch≥owice;Krauzego;1;;åwiÍtoch≥owice;Krauzego;1;
UKE-PoznaÒ;14/K/N/2013;2018-10-23;SP3YOR;1;500;SP3IYM;SP3LOZ;SQ3DHO;POLSKI ZWI•ZEK KR”TKOFALOWC”W;WARSZAWA;OK”LNIK;9A;16;KLUB KR”TKOFALOWC”W SP3YOR;POZNA—;OS.RUSA;135;48;POZNA—;OS.RUSA;135;48
UKE-Bia≥ystok;2/K/C/2013;2018-10-24;SP4PSU;1;150;SP4LXB;SP4AJ;SQ4CVX;Polski Zwiazek KrÛtkofalowcÛw;Warszawa;ul. OkÛlnik;9A;16;Polski Zwiazek KrÛtkofalowcÛw;Warszawa;ul. OkÛlnik;9A;16;Suwa≥ki;ul. SejneÒska;35;
UKE-PoznaÒ;15/K/N/2013;2018-10-31;SP3KQV;1;500;SP3YM;SP3LD;SP3XBO;LIGA OBRONY KRAJU;WARSZAWA;CHOCIMSKA;14;;KLUB £•CZNOåCI LOK, KALISKI KLUB KR”TKOFALOWC”W;KALISZ;;;;CHE£MCE;;3;
UKE-Warszawa;16/K/B/2013;2018-11-04;SP5ZBL;1;150;SP5IVC;SP5NHM;SQ5PTS;CHOR•GIEW MAZOWIECKA ZHP;P≥ock;ul. KrÛtka;3A;;Harcerski Klub KrÛtkofalowcÛw Mazowsze;MI—SK MAZOWIECKI;ul. Koúcielna;3;;MI—SK MAZOWIECKI;ul. Koúcielna;3;
UKE-£Ûdü;144/K/L/2013;2018-11-12;SP7PLO;1;150;SP7QLH;SP7MUP;SQ7OBD;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;OkÛlnik;9a;16;"Klub KrÛtkofalowcÛw PZK przy S.M. ""Radogoszcz-WschÛd""";£Ûdü;Tatarakowa;11;;£Ûdü;Tatarakowa;11;
UKE-Olsztyn;2/K/M/2013;2018-11-21;SP4YWM;1;150;SQ4FAP;SP4BBU;SP4OIZ;Gmina åwiÍtajno;åwiÍtajno;Grunwaldzka;15;;Gimnazjum im. K.I. Ga≥czyÒskiego w åwiÍtajnie;åwiÍtajno;M≥odzieøowa;2;;åwiÍtajno;M≥odzieøowa;2;
UKE-PoznaÒ;16/K/N/2013;2018-11-24;SP3KAU;1;500;SQ3POV;SQ6PLC;SQ2RBV;LIGA OBRONY KRAJU;WARSZAWA;CHOCIMSKA;14;;KLUB KR”TKOFALOWC”W PRZY ZARZ•DZIE WOJEW”DZKIM LOK;POZNA—;NIEZ£OMNYCH;1;;POZNA—;NIEZ£OMNYCH;1;
UKE-Warszawa;17/K/B/2013;2018-12-01;SP0WOT;1;500;SP5SSB;SP5CNA;SP5JXK;WARSZAWSKI ODDZIA£ TERENOWY PZK;Warszawa;ul. Lokajskiego;22;42;Warszawski Oddzia≥ Terenowy PZK;Warszawa;ul. Lokajskiego;22;42;Warszawa;ul. Lokajskiego;22;42
UKE-PoznaÒ;50/K/N/2013;2018-12-08;SP3PLV;1;150;SP3AMY;SP3EPG;SP3CGK;POLSKI ZWI•ZEK KR”TKOFALOWC”W;WARSZAWA;OK”LNIK;9A;16;POLSKI ZWI•ZEK KR”TKOFALOWC”W ODDZIA£ NADNOTECKI;PI£A;TETMAJERA;6;;PI£A;TETMAJERA;6;36
UKE-Katowice;166/K/F/2013;2018-12-09;SP9PBH;1;150;SP9UNQ;SQ9ROY;SQ9NIS;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;OkÛlnik;9 A;16;Integracyjny Klub £πcznoúci PZK przy Specjalnym Oúrodku Szkolno-Wychowawczym w Dπbrowie GÛrniczej;Dπbrowa GÛrnicza;Swobodna;59;;Dπbrowa GÛrnicza;Swobodna;59;
UKE-Wroc≥aw;25/K/R/2013;2018-12-13;SP6KCN;1;500;SP6QKO;SP6AXW;SP6BPT;"Stowarzyszenie Europejskie Centrum Radiokomunikacji Amatorskiej ""GÛra Che≥miec""";Szczawno ZdrÛj;wieøa widokowa GÛra Che≥miec;;;"Klub £πcznoúci Europejskiego Centrum Radiokomunikacji Amatorskiej ""GÛra Che≥miec"" przy Lidze Obrony Kraju";Wa≥brzych;ul. Wieniawskiego;80;;Wa≥brzych;ul. Wieniawskiego;80;
UKE-PoznaÒ;17/K/N/2013;2018-12-19;SP3KWM;1;150;SQ3KNQ;SQ3AUA;SQ3KCC;POLSKI ZWI•ZEK KR”TKOFALOWC”W;WARSZAWA;OK”LNIK;9A;16;M£ODZIEØOWY KLUB KR”TKOFALOWC”W W WYSOKIEJ MA£EJ;WYSOKA MA£A;;50a;1;WYSOKA MA£A;;50a;
UKE-KrakÛw;186/K/I/2013;2018-12-31;SP9ZKN;1;150;SQ9CWB;SQ9KCQ;SQ9PBO;Zwiπzek Harcerstwa Polskiego Chorπgiew Krakowska;KrakÛw;ul. Karmelicka;31;;ZHP Chorπgiew Krakowska - Hufiec Ziemi Wadowickiej;Wadowice;ul. Teatralna;2;;Wadowice;ul. Teatralna;2;
UKE-KrakÛw;187/K/I/2014;2019-01-17;SP9PKZ;1;150;SP9BWJ;SP9MAX;SP9MAT;Ma≥opolskie Stowarzyszenie KrÛtkofalowcÛw Oddzia≥ Terenowy Polskiego Zwiπzku KrÛtkofalowcÛw w Krakowie;KrakÛw;ul. Basztowa;15;17;Ma≥opolskie Stowarzyszenie KrÛtkofalowcÛw Oddzia≥ Terenowy Polskiego Zwiπzku KrÛtkofalowcÛw w Krakowie;KrakÛw;ul. Basztowa;15;17;KrakÛw;ul. Basztowa;15;17
UKE-Wroc≥aw;43/K/R/2014;2019-01-24;SP6KGJ;1;500;SP6GF;SP6TRX;SQ6NSG;Liga Obrony Kraju;Warszawa;ul. Chocimska;14;;Klub £πcznoúci LOK, SP6KGJ;G≥ogÛw;ul. Kamienna Droga;2;;G≥ogÛw;ul. Kamienna Droga;2;
UKE-Lublin;1/K/K/2014;2019-02-04;SP8YED;1;500;SP8QED;SP8MED;SQ8DSR;WojewÛdzki Sztab Ratownictwa w Lublinie;Lublin;ul. Lubomelska;1-3;pok. 1124;WojewÛdzki Sztab Ratownictwa w Lublinie;Lublin;ul. Lubomelska;1-3;pok. 1124;Pu≥awy;ul. Dembowskiego;2;
UKE-RzeszÛw;1/K/O/2014;2019-02-14;SP8PCF;1;500;SP8CUR;SP8JMA;SP8CUW;Klub KrÛtkofalowcÛw SP8PCF przy I Liceum OgÛlnokszta≥cπcym w £aÒcucie;£aÒcut;ul. Mickiewicza;3;;Klub KrÛtkofalowcÛw SP8PCF przy I Liceum OgÛlnokszta≥cπcym w £aÒcucie;£aÒcut;ul. Mickiewicza;3;;£aÒcut;ul. Mickiewicza;3;
UKE-Wroc≥aw;150/K/R/2014;2019-02-14;3Z6QRO;1;500;SP6JIU;SP6T;SP6M;Stowarzyszenie na rzecz wspierania sportu krÛtkofalarskiego SP-QRO;Bystrzyca;ul. J. Bema;1;;Stowarzyszenie na rzecz wspierania sportu krÛtkofalarskiego SP-QRO;Bystrzyca;ul. J. Bema;1;;Bystrzyca;ul. J. Bema;1;
UKE-Wroc≥aw;151/K/R/2014;2019-02-15;SP6PCP;1;500;SP6LTC;SP6FCQ;SP6FXF;Sudecki Oddzia≥ Terenowy Polskiego Zwiπzku KrÛtkofalowcÛw;Kamienna GÛra;ul. Piastowska;3;;Izerski Klub RadioamatorÛw, Contest Club;Jelenia GÛra;ul. Jana Sobieskiego;56;58;KromnÛw;;103;
UKE-Warszawa;1/K/B/2014;2019-02-25;SP5PMF;1;500;SP5WA;SP5XMI;SP5EWY;POLSKI ZWI•ZEK KR”TKOFALOWC”W;Warszawa;ul. OkÛlnik;9A;16;Praski Oddzia≥ Terenowy PZK;Warszawa;ul. Kordeckiego;66;U1/U2;Weso≥a;ul. Nizinna;4;
UKE-Bydgoszcz;73/K/D/2009;2019-03-04;SP2YUV;1;150;SP2UV;SP2WLS;SP2WLM;Kujawskie Stowarzyszenie KrÛtkofalowcÛw;W≥oc≥awek;ul. SmÛlska;9;15;Kujawskie Stowarzyszenie KrÛtkofalowcÛw;W≥oc≥awek;ul. SmÛlska;9;15;W≥oc≥awek;SmÛlska;9;15
UKE-Katowice;33/K/F/2014;2019-03-12;SP9PEW;1;150;SP9LLS;SP9RVU;SP9RVC;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;OkÛlnik;9 A;16;Klub KrÛtkofalowcÛw Ziemi Lublinieckiej;Lubliniec;Sobieskiego;22;;Lubliniec;Sobieskiego;22;
UKE-Wroc≥aw;85/K/R/2014;2019-03-15;SP6PLH;1;500;SP6DHD;SP6DNZ;SP6FEJ;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;ul. OkÛlnik;9A;16;"Klub KrÛtkofalowcÛw PZK przy SpÛ≥dzielni Mieszkaniowej ""PIEKARY"", SP6PLH";Legnica;ul. £owicka;2;23;Legnica;ul. £owicka;2;23
UKE-Warszawa;2/K/B/2014;2019-03-19;SP0WFF;1;500;SP5PB;SP5SSB;SP5JXK;WARSZAWSKI ODDZIA£ TERENOWY PZK;Warszawa;ul. Lokajskiego;22;42;Warszawski Oddzia≥ Terenowy PZK;Warszawa;ul. Lokajskiego;22;42;Warszawa;ul. Lokajskiego;22;42
UKE-Warszawa;3/K/B/2014;2019-03-19;SP0LH;1;500;SP5PB;SP5SSB;SP5JXK;WARSZAWSKI ODDZIA£ TERENOWY PZK;Warszawa;ul. Lokajskiego;22;42;Warszawski Oddzia≥ Terenowy PZK;Warszawa;ul. Lokajskiego;22;42;Warszawa;ul. Lokajskiego;22;42
UKE-Lublin;2/K/K/2014;2019-03-25;SP8PAI;1;500;SP8DIP;SP8LLB;SQ8MFB;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;ul. OkÛlnik;9 A;16;Lubelski Klub KrÛtkofalowcÛw Polskiego Zwiπzku KrÛtkofalowcÛw;Lublin;ul. DaszyÒskiego;11;39;Lublin;ul. DaszyÒskiego;11;39
UKE-Katowice;170/K/F/2014;2019-04-10;SP9PKE;1;150;SP9BIF;SQ9PPU;SQ9SHS;Gminny Oúrodek Kultury w Pilchowicach;Nieborowice;G≥Ûwna;50;;Pilchowicki Klub KrÛtkofalowcÛw;Wilcza;Karola Miarki;123;;Wilcza;Karola Miarki;123;
UKE-£Ûdü;109/K/L/2009;2019-04-20;SP7YLD;1;150;SP7UKL;SQ7LRG;SQ7LRN;Stowarzyszenie KrÛtkofalowcÛw Regionu £Ûdzkiego;£Ûdü;PiÍkna;65/67;25;Stowarzyszenie KrÛtkofalowcÛw Regionu £Ûdzkiego;£Ûdü;PiÍkna;65/67;25;£Ûdü;PiÍkna;65/67;25
UKE-GdaÒsk;0029/K/E/2014;2019-05-21;SP2ZFK;1;150;SP2GOW;SP2LLR;SP2CI;Fundacja Harcerstwa Centrum Wychowania Morskiego Zwiπzku Harcerstwa Polskiego;GDYNIA;ul. Jana Paw≥a II;5;;Fundacja Harcerstwa Centrum Wychowania Morskiego Zwiπzku Harcerstwa Polskiego;GDYNIA;ul. Jana Paw≥a II;5;;Jacht s/y Zawisza Czarny;;;
UKE-£Ûdü;149/K/L/2014;2019-05-21;SP7SSR;1;150;SQ7JHW;SQ7JHR;SQ7JHG;"Stowarzyszenie ""Sztab Ratownictwa""";Be≥chatÛw;oú. Dolnoúlπskie;201;242c;"Klub KrÛtkofalowcÛw przy Stowarzyszeniu ""Sztab Ratownictwa"" w Be≥chatowie";Be≥chatÛw;oú. Dolnoúlπskie;201;242c;Be≥chatÛw;oú. Dolnoúlπskie;201;242c
UKE-KrakÛw;188/K/I/2014;2019-05-23;SP9KDR;1;150;SP9BSR;SP9NSU;SQ9NFQ;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;ul. OkÛlnik;9A;16;"Klub KrÛtkofalowcÛw ""Dolina Raby"" SP9KDR";Pcim;;596;;Pcim;;596;
UKE-Bydgoszcz;1/K/D/2014;2019-05-30;SP2YMX;1;150;SP2SV;SP2FKE;SQ2BNE;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;ul. OkÛlnik;9A;16;Che≥miÒski Klub KrÛtkofalowcÛw METEOR;Che≥mno,;ul. DominikaÒska;16;3;Che≥mno,;ul. DominikaÒska;16;3
UKE-Szczecin;60/K/P/2014;2019-06-01;SP1KBK;1;500;SP1II;SQ1OD;SQ1FTE;Liga Obrony Kraju;Warszawa;Chocimska;14;;Klub £πcznoúci LOK SP1KBK;Postomino;;85A;;Postomino;;85A;
UKE-Szczecin;65/K/P/2014;2019-06-20;SP1KMK;1;500;SP1TMN;SQ1FYW;SQ1SGR;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;OkÛlnik;9A;16;Szkolny Klub Radioastronomii PZK;Nowogard;Boh. Warszawy;78;;Nowogard;Boh. Warszawy;78;
UKE-PoznaÒ;1/K/N/2014;2019-07-17;SP3ZHR;1;150;SQ3TCA;SQ3TCD;SQ3SWO;ZWI•ZEK HARCERSTWA RZECZYPOSPOLITEJ - OKR G WIELKOPOLSKI;POZNA—;åW. MARCIN;30;;"15 POZNA—SKA DRUØYNA W DROWNIK”W ""INVUBU""";POZNA—;KO££•TAJA;142;;POZNA—;KO££•TAJA;1;
UKE-Wroc≥aw;152/K/R/2014;2019-07-19;SP6ZWR;1;500;SQ6NLN;SQ6VY;SQ6NTI;Polski Zwiπzek KrÛtkofalowcÛw;Warszawa;ul. OkÛlnik;9a;16;Klub £πcznoúci Ratunkowej i Cyfrowych SystemÛw £πcznoúci Amatorskiej SP6ZWR;Wysoka;ul. Sezamkowa;13;;Wysoka;ul. Sezamkowa;13;
UKE-Warszawa;7/K/B/2014;2019-07-21;SP5PDA;1;500;SP5XSL;SP5VYQ;SQ4IOY;WARSZAWSKI ODDZIA£ TERENOWY PZK;Warszawa;ul. Lokajskiego;22;42;"Klub KrÛtkofalowcÛw PÛ≥nocnego Mazowsza ""ANODA""";Czernice Borowe;ul. Bagienna;1;;Czernice Borowe;ul. Bagienna;1;
UKE-Szczecin;72/K/P/2014;2019-07-22;SP1KSR;1;500;SP1LJQ;SP1MPW;SP1F;Ba≥tyckie Stowarzyszenie KrÛtkofalowcÛw;Ko≥obrzeg;Gie≥dowa;11;35;Ko≥obrzeska Amatorska SieÊ Ratunkowa;Ko≥obrzeg;Øurawia;12b;;Ko≥obrzeg;Øurawia;12b;
