number;valid_to;call_sign;category;transmitter_power;applicant_name;applicant_city;applicant_street;applicant_house;applicant_number;enduser_name;enduser_city;enduser_street;enduser_house;enduser_number;station_city;station_street;station_house;station_number;lat;lng
DC.WML.5101.1817.2019.2;2020-06-03;SO7M;Dodatkowe;1500;Polski Zwi¹zek Krótkofalowców;Warszawa;Augustyna Kordeckiego;66;U1;"";"";"";"";"";Kielce;ul. Piotra Œciegiennego;2;"";;
DC.WML.5101.1839.2019.4;2029-05-27;SP8KPK;Kategoria1;500;Zespó³ Szkó³ Ponadgimnazjalnych Nr 1 w Stalowej Woli;Stalowa Wola;ul. Hutnicza;17;"";"";"";"";"";"";Stalowa Wola;ul. Hutnicza;17;"";50.5965122832;22.0368383628
DC.WML.5101.1841.2019.2;2020-06-09;SN0HA;Dodatkowe;1500;Polski Zwi¹zek Krótkofalowców;Warszawa;Augustyna Kordeckiego;66;U1;"";"";"";"";"";Szczecin;ul. Rubinowa;5;28;;
DC.WML.5101.2079.2019.2;2020-06-12;SN2X;Dodatkowe;500;Polski Zwi¹zek Krótkofalowców;Warszawa;Augustyna Kordeckiego;66;U1;"";"";"";"";"";Bydgoszcz;ul. Bia³ogardzka;15;63;53.1209975745;18.0447200466
DC.WML.5101.1759.2019.3;2029-05-29;SP8R;Kategoria1;500;Klub Krótkofalowców SP8PCF przy I Liceum Ogólnokszta³c¹cym w £añcucie;£añcut;ul. Mickiewicza;3;"";"";"";"";"";"";£añcut;ul. Mickiewicza;3;"";50.0717246133;22.2300648758
DC.WML.5101.1968.2019.2;2029-05-31;SP7PZS;Kategoria1;500;Polski Zwi¹zek Krótkofalowców;Warszawa;Augustyna Kordeckiego;66;U1;"";"";"";"";"";Zduñska Wola;ul. Ceramiczna;10;"";;
DC.WML.5101.1969.2019.2;2020-05-31;SN44RP;Dodatkowe;500;Polski Zwi¹zek Krótkofalowców;Warszawa;Augustyna Kordeckiego;66;U1;"";"";"";"";"";Sieradz;Pl. Wojewódzki;3;"";;
DC.WML.5101.2123.2019.2;2029-06-13;SP8YED;Kategoria1;500;Pluton £¹cznoœci Kierowania OC;Lublin;ul. Lubomelska;1-3;1124;"";"";"";"";"";Pu³awy;ul. Dwernickiego;2;"";51.3829381865;21.9934726926
DC.WML.5101.2017.2019.2;2020-06-04;SN86LOT;Dodatkowe;1500;Polski Zwi¹zek Krótkofalowców;Warszawa;Augustyna Kordeckiego;66;U1;"";"";"";"";"";Myœlibórz;ul. Spokojna;22;"";52.9228658599;14.8625266189
DC.WML.5101.2019.2019.2;2020-06-04;3Z0LH;Dodatkowe;1500;Polski Zwi¹zek Krótkofalowców;Warszawa;Augustyna Kordeckiego;66;U1;"";"";"";"";"";Szczecin;ul. Wawrzyniaka;5;"";;
